id,citizen_internal_id,message,timestamp
1,22,تم توزيع المساعدات الغذائية. يرجى استلامها من نقطة التوزيع المحددة.,01. 29. 2025  9:48:00 PM
1,22,تم استلام طلبكم للمساعدة الغذائية. سيتم التواصل معكم قريباً.,03. 26. 2025  8:46:00 PM
1,22,تم الموافقة على طلب المساعدة المالية. يرجى مراجعة المكتب لاستلام المبلغ.,06. 13. 2025  12:48:00 AM
1,22,نأسف لتأخير الرد. طلبكم قيد المراجعة وسيتم الرد خلال أسبوع.,05. 05. 2025  1:24:00 PM
1,22,تم ترتيب موعد للفحص الطبي يوم الأحد القادم في المستشفى العام.,06. 07. 2025  8:59:00 PM
1,22,يرجى تحديث بياناتكم الشخصية في أقرب وقت ممكن.,06. 18. 2025  2:40:00 PM
1,22,تم تسجيل طلبكم بنجاح. رقم الطلب: REQ-2024-001,02. 17. 2025  7:01:00 PM
1,22,شكراً لكم على التواصل. سيتم مراجعة حالتكم والرد قريباً.,02. 22. 2025  7:13:00 AM
1,22,تم توزيع المساعدات الغذائية. يرجى استلامها من نقطة التوزيع المحددة.,02. 20. 2025  10:50:00 PM
1,22,تم استلام طلبكم للمساعدة الغذائية. سيتم التواصل معكم قريباً.,05. 18. 2025  3:47:00 AM
1,22,تم الموافقة على طلب المساعدة المالية. يرجى مراجعة المكتب لاستلام المبلغ.,01. 26. 2025  9:39:00 PM
1,22,نأسف لتأخير الرد. طلبكم قيد المراجعة وسيتم الرد خلال أسبوع.,05. 03. 2025  4:50:00 AM
1,22,تم ترتيب موعد للفحص الطبي يوم الأحد القادم في المستشفى العام.,05. 31. 2025  1:26:00 AM
1,22,يرجى تحديث بياناتكم الشخصية في أقرب وقت ممكن.,03. 24. 2025  4:28:00 PM
1,22,تم تسجيل طلبكم بنجاح. رقم الطلب: REQ-2024-001,04. 23. 2025  7:55:00 AM
1,22,شكراً لكم على التواصل. سيتم مراجعة حالتكم والرد قريباً.,05. 28. 2025  6:33:00 PM
1,22,تم توزيع المساعدات الغذائية. يرجى استلامها من نقطة التوزيع المحددة.,05. 25. 2025  8:42:00 AM
1,23,تم استلام طلبكم للمساعدة الغذائية. سيتم التواصل معكم قريباً.,06. 21. 2025  7:12:00 AM
1,23,تم الموافقة على طلب المساعدة المالية. يرجى مراجعة المكتب لاستلام المبلغ.,03. 23. 2025  12:26:00 PM
1,23,نأسف لتأخير الرد. طلبكم قيد المراجعة وسيتم الرد خلال أسبوع.,02. 13. 2025  12:31:00 AM
1,23,تم ترتيب موعد للفحص الطبي يوم الأحد القادم في المستشفى العام.,01. 29. 2025  9:48:00 PM
1,23,يرجى تحديث بياناتكم الشخصية في أقرب وقت ممكن.,03. 26. 2025  8:46:00 PM
1,23,تم تسجيل طلبكم بنجاح. رقم الطلب: REQ-2024-001,06. 13. 2025  12:48:00 AM
1,23,شكراً لكم على التواصل. سيتم مراجعة حالتكم والرد قريباً.,05. 05. 2025  1:24:00 PM
1,23,تم توزيع المساعدات الغذائية. يرجى استلامها من نقطة التوزيع المحددة.,06. 07. 2025  8:59:00 PM
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1,21,You will receive financial support on the scheduled date,2025-07-06T03:38:44.723065
1,21,سوف تستلم مساعدة مالية غدا,2025-07-06T16:19:22.031593
1,21,سوف تستلم مساعدة مالية غدا,2025-07-06T16:19:26.366807
1,21,سوف تستلم مساعدة مالية غدا,2025-07-06T16:20:18.780921
1,23,Come,2025-09-20T20:33:34.636630
